num,img,title,field,organizer,start_day,finish_day,homepage
180,https://www.wevity.com/upload/contest/20240528002008_27ad1378.jpg,2024 젊음의축제 예술경연대회 경연참가팀 모집,"예체능, 미술, 음악",부산예술회관/(사)부산예총,2024-05-08,2024-06-30,http://www.bsart.or.kr/
181,https://www.wevity.com/upload/contest/20240528000421_8152518a.jpg,2024 제7회 학생독립운동 113초 영화제 대회,"영상, UCC, 사진",광주학생독립운동기념회관,2024-05-27,2024-09-20,https://gsim.gen.go.kr:446/xboard/board.php?mode=view&number=4955&page=1&tbnum=7
182,https://www.wevity.com/upload/contest/20240601200249_54ac36e6.jpg,2024년 양성평등 작품 공모전,"예체능, 미술, 음악",세종특별자치시교육청 양성평등교육지원센터,2024-05-27,2024-06-28,https://shpc.sje.go.kr/main/board/read.action?q=c9740ea1a11746d2750ba6baf781e594f34781bdc77beabe3f54bc1e2decd226091a1f4dd2388d191904ab15b8d73bab1079b61dc5bc99a74e115413fd206fa1
183,https://www.wevity.com/upload/contest/20240527235354_98201e1b.jpg,바이브온 대학생 서포터즈 바이브온즈 1기 모집,"대외활동, 서포터즈",바이브온 코퍼레이션,2024-05-27,2024-06-09,https://www.vibeon.ai/web/board/view.do?mId=61&brdIdx=725&flgDlEnd=
184,https://www.wevity.com/upload/contest/20240530051828_cec5697e.jpg,2025 청주독서대전 슬로건 공모전,"네이밍, 슬로건",청주시,2024-05-23,2024-06-14,https://library.cheongju.go.kr/lib/front/index.php?g_page=community&m_page=community01&page=1&bb_code=70ie0br0ag0ead7&view=read&wd=2&bvLib=15&sc=TOL&allBo=1
185,https://www.wevity.com/upload/contest/20240527234916_9f25c92f.jpg,제24회 가람이병기청년시문학상․최명희청년소설 문학상,"문학, 글, 시나리오",전북대학교신문방송사,2024-08-12,2024-08-31,https://www.jbpresscenter.com/
186,https://www.wevity.com/upload/contest/20240530045131_890f781e.jpg,한국 창작 동요 100주년 기념 고향의 봄 어린이 노랫말 공모전,"예체능, 미술, 음악",고향의봄기념사업회,2024-05-21,2024-06-30,http://leewonsu.co.kr/bbs/board.php?bo_table=06_01&wr_id=248
187,https://www.wevity.com/upload/contest/20240530042549_d1e8dcd0.jpg,"2024 제3회 피노베이션 챌린지 (서울시 X 신한은행, 신한카드, 신한투자증권)","취업, 창업","서울특별시, 신한은행, 신한카드, 신한투자증권",2024-05-22,2024-06-12,https://seoulfintechlab.kr/news/8490/?prev=news-notice&pag=1
188,https://www.wevity.com/upload/contest/20240530041345_4bb09c78.jpg,세계금연의날 기념 제1회 국립암센터 청소년 금연 포스터 공모전,"디자인, 캐릭터, 웹툰",국립암센터,2024-05-17,2024-06-17,https://www.ncc.re.kr/boardView.ncc?uri=notice07&ntcId=7270&searchKey=total&searchValue=&pageNum=1
189,https://www.wevity.com/upload/contest/20240530035857_7f754bbf.jpg,2024 용산어린이정원 홍보 영상 공모전,"영상, UCC, 사진",국토교통부,2024-05-31,2024-07-14,https://yongsanparkstory.kr/program/event.html?type=view&bsNo=285&page=1
190,https://www.wevity.com/upload/contest/20240530035353_c93da836.jpg,2024년 경기도 GenAI·공공데이터 창업경진대회,"취업, 창업",경기도,2024-05-22,2024-06-30,https://data.gg.go.kr/portal/bbs/notice/selectBulletinPage.do?bbsCd=NOTICE&seq=2129
191,https://www.wevity.com/upload/contest/20240527232342_a45077b2.jpg,2024년 제5회 Mine-Tech 페스타,"과학, 공학",한국광해광업공단,2024-06-24,2024-07-26,https://www.komir.or.kr/kor/article/ATCLae941cba8/3519
192,https://www.wevity.com/upload/contest/20240530034528_7c6a1820.jpg,2024년 서울교육 갑질근절 콘텐츠 공모전,"예체능, 미술, 음악",서울특별시교육청,2024-05-27,2024-06-28,https://www.sen.go.kr/user/bbs/BD_selectBbs.do?q_rowPerPage=10&q_currPage=1&q_sortName=&q_sortOrder=&q_searchKeyTy2=1005&q_searchStartDt=&q_searchEndDt=&q_bbsSn=1100&q_bbsDocNo=20240524084617639&q_clsfNo=&q_searchKeyTy=t
193,https://www.wevity.com/upload/contest/20240527223758_02fd41d9.jpg,2024 부산 반려동물 박람회 서포터즈 모집,"대외활동, 서포터즈",(주)메세코리아,2024-05-14,2024-06-30,https://teafair.co.kr/?main=0
194,https://www.wevity.com/upload/contest/20240530033209_373dadde.jpg,(가칭)서울 통합온라인학교 교명 공모,"네이밍, 슬로건",서울특별시교육청,2024-05-24,2024-06-10,https://www.sen.go.kr/user/bbs/BD_selectBbs.do?q_bbsSn=1100&q_bbsDocNo=20240523104230592
195,https://www.wevity.com/upload/contest/20240530025649_9d298a77.jpg,제 10회 김현승 시문상 공모,"문학, 글, 시나리오",숭실대학교국어국문학과및문예창작전공,2024-06-03,2024-06-14,https://creativewriting.ssu.ac.kr/공지/공지사항/학과-및-학사/?slug=2544
196,https://www.wevity.com/upload/contest/20240530025243_d99680f4.jpg,제2회 경남아동문학신인상 공모,"문학, 글, 시나리오",경상남도아동문학인협회,2024-06-01,2024-07-31,https://cafe.daum.net/knadong/Soew/4
197,https://www.wevity.com/upload/contest/20240530023749_9a031854.jpg,세종사이버대학교 사회복지학부 사회복지 바로알기 숏츠 영상 공모전,"영상, UCC, 사진",세종사이버대학교 사회복지학부,2024-08-03,2024-08-31,https://home.sjcu.ac.kr/welfare/news/notice.do?mode=view&articleNo=126551#!/list
198,https://www.wevity.com/upload/contest/20240527220035_e6911d60.jpg,제7회 고흥분청사기 전국 공모전,"예체능, 미술, 음악",고흥분청문화박물관,2024-05-23,2024-08-10,https://buncheong.goheung.go.kr/site/buncheong/46#none
199,https://www.wevity.com/upload/contest/20240529161354_ace9eafc.jpg,국민특별위원회 통합문화 확산 프로젝트 기업과 함께하는 아름다운 동행 공모전,기타,국민특별위원회,2024-05-20,2024-06-28,https://blog.naver.com/kcohesion/223452094445
200,https://www.wevity.com/upload/contest/20240529160615_6094d627.jpg,국민불편 규제 발굴 및 제도 개선을 위한 대국민 아이디어 공모전,"기획, 아이디어",한국자산관리공사,2024-05-20,2024-07-31,https://www.kamco.or.kr/portal/bbs/view.do?mId=0701010000&bIdx=17447&ptIdx=380
201,https://www.wevity.com/upload/contest/20240529155959_1f5caa44.jpg,샤크(SHARK) 자율주행대회,"과학, 공학",성남시,2024-05-27,2024-06-14,https://portal.snip.or.kr:8443/portal/snip/MainMenu/businessManagement/application.page?portlet=2024-0137&portlet2=3708&homeYn=Y
202,https://www.wevity.com/upload/contest/20240527211305_98cd3fb2.jpg,제9회 초록우산 감사편지 공모전,"문학, 글, 시나리오",초록우산 어린이재단,2024-03-13,2024-07-12,https://www.thanksletter.or.kr
203,https://www.wevity.com/upload/contest/20240530152818_4d948ed0.jpg,2024년 제3기 보험연구원 온라인 서포터즈 모집,"대외활동, 서포터즈",보험연구원,2024-05-27,2024-06-16,https://kiri.or.kr/community/noticeView.do?bid=120794&tpcd=N01&searchCon=&searchWord=&page=1
204,https://www.wevity.com/upload/contest/20240529153540_2524e6a8.jpg,제25회 전국공모 인천 계양미술대전,"예체능, 미술, 음악",계양문화원,2024-06-13,2024-06-14,http://www.igycc.or.kr/bbs/bbsMsgDetail.do?bcd=notice&msg_seq=378
205,https://www.wevity.com/upload/contest/20240529152949_6327306f.jpg,제31회 KBS한전음악콩쿠르,"예체능, 미술, 음악","KBS, 한국전력공사",2024-05-13,2024-06-07,"https://program.kbs.co.kr/online/office/concours/pc/board.html?smenu=32a386&bbs_loc=X2023-0097-04-406798,list,none,1,0"
206,https://www.wevity.com/upload/contest/20240529151448_57c093c3.jpg,국방부 제3회 국방부장관배 드론봇 챌린지 대회,"과학, 공학",국방부,2024-06-10,2024-06-30,https://sotong.go.kr/front/epilogue/epilogueBbsViewPage.do?bbs_id=243a648d9d41461584d078eb634c5d2d&searchkey=A&searchtxt=&miv_pageNo=1
207,https://www.wevity.com/upload/contest/20240527202646_6a9bc66c.jpg,상지대학교 캐릭터 리뉴얼 공모전,"디자인, 캐릭터, 웹툰",상지대학교,2024-05-23,2024-06-14,https://www.sangji.ac.kr/prog/bbsArticle/BBSMSTR_000000007066/list.do
208,https://www.wevity.com/upload/contest/20240527202431_afa5f388.jpg,상지대학교 개교 70주년 기념 사진 공모전,"영상, UCC, 사진",상지대학교,2024-05-23,2024-06-14,https://www.sangji.ac.kr/prog/bbsArticle/BBSMSTR_000000007064/list.do
209,https://www.wevity.com/upload/contest/20240527200758_46fdc8e9.jpg,상지대학교 개교 70주년 기념 캐치프레이즈 공모전,"네이밍, 슬로건",상지대학교,2024-05-23,2024-06-14,https://www.sangji.ac.kr/prog/bbsArticle/BBSMSTR_000000007065/list.do
210,https://www.wevity.com/upload/contest/20240529150626_b72efd40.jpg,2024 청주시 규제개혁 아이디어 공모전,"기획, 아이디어",청주시,2024-06-03,2024-07-17,https://www.cheongju.go.kr/www/selectEminwonNoticeView.do?key=23366¬AncmtMgtNo=128578
211,https://www.wevity.com/upload/contest/20240529150223_07c1295e.jpg,2024년 한국유학 홍보 숏폼 영상 공모전,"영상, UCC, 사진","교육부, 국립국제교육원",2024-05-20,2024-07-19,https://www.studyinkorea.go.kr/ko/main.do
212,https://www.wevity.com/upload/contest/20240529144835_49b00ff5.jpg,상상하는 만큼 즐거운 강릉 관광 트릭 사진 공모전,"영상, UCC, 사진",강릉시,2024-08-01,2024-08-31,"http://www.gn.go.kr/www/selectGosiNttView.do?key=263&searchGosiSe=01,04,06&gosiNttNo=51794"
213,https://www.wevity.com/upload/contest/20240529134101_130960a0.jpg,서울시 문화유산보존센터 새명칭 공모,"네이밍, 슬로건",서울시,2024-05-13,2024-06-07,https://mediahub.seoul.go.kr/gongmo/2000514
214,https://www.wevity.com/upload/contest/20240529133248_e5eac17a.jpg,제16회 제주 국제사진 공모전,"영상, UCC, 사진","제주특별자치도, 동아일보사",2024-06-03,2024-09-09,http://jejucontest.com/
215,https://www.wevity.com/upload/contest/20240527193552_5663152f.jpg,공주여행 100배 즐기기 숏폼 영상 공모전,"영상, UCC, 사진",공주시청,2024-05-24,2024-07-20,https://www.gongju.go.kr/bbs/BBSMSTR_000000000813/view.do?nttId=B000000338385Bl6iG2i&mno=sub04_01
216,https://www.wevity.com/upload/contest/20240529132610_631a1f76.jpg,2024 RecurDyn Simulation 경진대회,"과학, 공학",펑션베이(주),2024-06-24,2024-06-26,https://support.functionbay.com/ko/blog/single/1395
217,https://www.wevity.com/upload/contest/20240529131923_8c8a14e3.jpg,제32회 하나은행 자연사랑 어린이 미술대회,"예체능, 미술, 음악",하나은행,2024-05-03,2024-09-06,https://contest.hanafn.com/
218,https://www.wevity.com/upload/contest/20240529125640_3e528ce4.jpg,일상을 바꿀 생성형 AI 및 대화형 GPT 기술 활용 공모전,"게임, 소프트웨어",세종사이버대학교 소프트웨어공학과,2024-05-27,2024-07-12,https://dept.sjcu.ac.kr/computer/news/notice.do?mode=view&articleNo=126344
219,https://www.wevity.com/upload/contest/20240529041056_ed23dc4a.jpg,2024년도 제7회 노계문학 전국 백일장대회 공모전,"문학, 글, 시나리오",노계박인로기념사업회,2024-06-01,2024-06-30,http://noge.or.kr/행사공지/?vid=17
220,https://www.wevity.com/upload/contest/20240529040003_356a1f9d.jpg,2024 영등포 디카시 공모전,"문학, 글, 시나리오",한국문인협회영등포지부,2024-07-10,2024-08-31,https://cafe.daum.net/dicapoetry2024
221,https://www.wevity.com/upload/contest/20240529035128_99b03741.jpg,2024 KB창작동화제 작품 공모전,"문학, 글, 시나리오",KB국민은행,2024-05-23,2024-06-19,https://kbbookfesta.com/
222,https://www.wevity.com/upload/contest/20240527192543_8213cf42.jpg,[고용노동부/한국폴리텍대학] 제16회 미래내모습그리기대회,"예체능, 미술, 음악",고용노동부,2024-06-03,2024-07-19,https://www.myfuturejob2024.co.kr/
223,https://www.wevity.com/upload/contest/20240529031744_e5722809.jpg,개통 50주년 기념 서울교통공사 스토리텔링 공모전,"문학, 글, 시나리오",서울교통공사,2024-05-13,2024-06-09,https://www.seoulmetro.co.kr/kr/storytelling.do?menuIdx=890
224,https://www.wevity.com/upload/contest/20240529030347_dc215670.jpg,제3회 한글문예대전,"문학, 글, 시나리오","경상북도, 영남일보",2024-08-01,2024-08-09,https://culture.yeongnam.com/hangeul/
225,https://www.wevity.com/upload/contest/20240529025708_8ae66557.jpg,2024년 제 4회 메디칼타임즈 의대생 콘텐츠 공모전,"예체능, 미술, 음악",메디칼타임즈,2024-07-15,2024-08-31,https://www.medicaltimes.com/Main/contest/index.html
226,https://www.wevity.com/upload/contest/20240524233110_d50d5fb7.jpg,[만월종합사회복지관] 2024 만월산마을축제 축제기획단 모집,봉사활동,만월종합사회복지관,2024-05-24,2024-06-12,http://www.manwel.or.kr/bbs/board.php?bo_table=0401&wr_id=1248
227,https://www.wevity.com/upload/contest/20240524232750_91c4b356.jpg,2024 말톡나우 숏폼 공모전,"영상, UCC, 사진",(주)다이얼커뮤니케이션즈/말톡,2024-05-24,2024-06-23,https://store.maaltalk.com/
228,https://www.wevity.com/upload/contest/20240524225242_09a3a237.jpg,커피루소 서포터즈 루소 Mate 모집,"대외활동, 서포터즈",커피루소,2024-05-24,2024-06-06,https://lussolab.co.kr/
229,https://www.wevity.com/upload/contest/20240524222912_12bafbac.jpg,제24회 대한민국 청자공모전,"예체능, 미술, 음악",강진군,2024-08-02,2024-08-16,https://www.celadon.go.kr/
230,https://www.wevity.com/upload/contest/20240524221549_741d94f0.jpg,제2기 장애인 건강관리 서포터즈 단디(DANDI) 모집,"대외활동, 서포터즈",부산광역시 지역장애인보건의료센터,2024-05-23,2024-06-09,https://www.brhmc.or.kr/Board/View.do?BOARDID=BOARD00001&idx=544
231,https://www.wevity.com/upload/contest/20240524220613_5826334f.jpg,2024 제7회 핀테크 아이디어 공모전,"기획, 아이디어",금융위원회,2024-05-20,2024-07-03,https://fintech.or.kr/
232,https://www.wevity.com/upload/contest/20240524212735_de5025e2.jpg,[남동문화재단] 2024년 갤러리 화·소 전시공간지원사업 공모,"예체능, 미술, 음악",남동문화재단,2024-05-08,2024-06-19,https://buly.kr/ESwI4H1
233,https://www.wevity.com/upload/contest/20240524212326_fcfa6cc1.jpg,GKL 모두를 위한 관광기획단 참가자 모집,"대외활동, 서포터즈",GKL사회공헌재단,2024-05-24,2024-06-14,https://www.lifedit.co.kr/page/board/notice-detail.php?id=9
234,https://www.wevity.com/upload/contest/20240524211016_494e395e.jpg,귤냥이와친구들 TV판 애니메이션 오프닝 노래 제작 공모전,"예체능, 미술, 음악",(주) 인식과사실,2024-05-24,2024-06-27,https://www.youtube.com/@orangecat1977
235,https://www.wevity.com/upload/contest/20240524205554_48075864.jpg,틱택코리아 서포터즈 1기 모집,"대외활동, 서포터즈",주식회사 틱택코리아,2024-05-24,2024-06-07,https://www.wevity.com/?c=find&s=1&gbn=view&gp=1&ix=87551
236,https://www.wevity.com/upload/contest/20240524204924_450e3b43.jpg,2024 대한민국 종이문화예술작품 공모대전,"예체능, 미술, 음악",대한민국 종이문화예술작품대전위원회,2024-09-23,2024-10-05,https://cafe.naver.com/papermuseum/398
237,https://www.wevity.com/upload/contest/20240524204208_16af33a6.jpg,2024 마포문화재단 지역예술가 전시공간 지원사업 참여작가 공모,"예체능, 미술, 음악",(재)마포문화재단,2024-05-20,2024-06-28,https://m.site.naver.com/1nzv3
238,https://www.wevity.com/upload/contest/20240524202244_4043fbd3.jpg,2024 아름다운 우리말 이름 가게 찾기 공모전,기타,문화체육관광부,2024-05-13,2024-06-16,http://kor.donga.ac.kr/bbs/kor/1829/178909/artclView.do?layout=unknown
239,https://www.wevity.com/upload/contest/20240524003509_f5acbc87.jpg,K-디지털 챌린지 NET 챌린지 캠프 시즌 11 (네트워크 응용분야 아이디어 공모전),"웹, 모바일, IT",과학기술정보통신부,2024-06-05,2024-06-26,https://www.koren.kr/kor/Alram/contyView.asp?s=34&page=1
240,https://www.wevity.com/upload/contest/20240523220821_fe8229d3.jpg,제45회 서울무용제 [4마리백조 페스티벌-춤추는 릴스완(Reelswan)],"영상, UCC, 사진",사단법인 대한무용협회,2024-07-01,2024-07-31,https://sdf1979.koreadanceassociation.org/notice/read/57
241,https://www.wevity.com/upload/contest/20240523234508_b3dd413b.jpg,제 4회 아트그라운드 서울 2024 서포터즈 - 리틀 디렉터 모집,"대외활동, 서포터즈",사단법인 청년미술협회,2024-05-24,2024-06-07,https://www.wevity.com/?c=find&s=1&gbn=view&gp=1&ix=87507
242,https://www.wevity.com/upload/contest/20240523232727_d47bcf78.jpg,제16회 국제법 모의재판대회,"논문, 리포트","외교부, 대한국제법학회",2024-06-10,2024-08-02,http://ksil.or.kr/
243,https://www.wevity.com/upload/contest/20240523234018_e003199b.jpg,[농림축산식품교육문화정보문화원] 2024 미소곡간 쌀 서포터즈 미라클즈 모집,"대외활동, 서포터즈",농림수산식품교육문화정보원,2024-05-23,2024-06-05,https://www.epis.or.kr/main/view
244,https://www.wevity.com/upload/contest/20240523233352_119d76cd.jpg,2024년 예술의거리 활주로-37 입주작가 공모,"예체능, 미술, 음악","광주광역시 , 문화체육관광부",2024-05-22,2024-06-04,https://blog.naver.com/art_street24/223455097954
245,https://www.wevity.com/upload/contest/20240523233120_c1fef47a.jpg,2024년 수요자 맞춤 농촌관광 기자단 모집,"대외활동, 서포터즈",농림축산식품부,2024-05-22,2024-06-04,https://www.welchon.com/web/lay1/bbs/S1T223C224/A/2/view.do?article_seq=1155
246,https://www.wevity.com/upload/contest/20240523232359_4c0b2813.jpg,제24회 대학(원)생 국제법 논문경시대회,"논문, 리포트",대한국제법학회,2024-06-01,2024-08-31,http://ksil.or.kr/
247,https://www.wevity.com/upload/contest/20240523225406_3f986442.jpg,2024 고용노동부 일·육아 양립 우수사례 수기 공모전,기타,고용노동부,2024-05-22,2024-06-27,http://www.일가정양립.com
248,https://www.wevity.com/upload/contest/20240523224757_6f65f7e9.jpg,FEALAC RUN 독서 마라톤,"문학, 글, 시나리오","외교부, FEALAC 사이버사무국",2024-05-13,2024-06-12,https://forms.gle/7pzgAchd9MAf5W5f8
249,https://www.wevity.com/upload/contest/20240523223532_1dc08e0b.jpg,올리브영 셔터브리티 3기 모집,"대외활동, 서포터즈",올리브영,2024-05-13,2024-06-06,https://ma.oliveyoung.co.kr/m/PLAN.do?dispCatNo=500000102970017
250,https://www.wevity.com/upload/contest/20240523083852_0e5aaf0f.jpg,"2024 K-STORY IN 영덕 웹소설, 웹툰 공모전","디자인, 캐릭터, 웹툰",영덕군,2024-05-20,2024-07-14,https://www.k-storyyd.com/
251,https://www.wevity.com/upload/contest/20240522204306_f9778368.jpg,[KISTI] 제1회 슈퍼컴퓨팅 가시화 경진대회 SUPER-VISION CHALLENGE,"과학, 공학",한국과학기술정보연구원,2024-05-30,2024-06-25,https://supervisionchallenge.com
252,https://www.wevity.com/upload/contest/20240522202654_4bfa67f0.jpg,[서민금융진흥원] 청년도약계좌 1주년 기념 숏폼공모전,"영상, UCC, 사진",서민금융진흥원,2024-05-22,2024-06-10,https://blog.naver.com/seominkinfa/223454452534
253,https://www.wevity.com/upload/contest/20240522195128_96ea4607.jpg,2024 제3회 천안 전국실용무용대회,"예체능, 미술, 음악",천안종합실용무용총현합회,2024-05-22,2024-06-08,http://www.cheonanart.co.kr/board_DDKo40/730
254,https://www.wevity.com/upload/contest/20240530023148_3c5be009.jpg,2024년 한글 아이좋아 포스터 공모전,"디자인, 캐릭터, 웹툰",경상남도교육청,2024-06-03,2024-07-12,https://www.gne.go.kr/board/view.gne?boardId=gne_notice&menuCd=DOM_000000105011000000&startPage=1&dataSid=1720904
255,https://www.wevity.com/upload/contest/20240526013436_677343ab.jpg,특허청 지식재산 정보정책 대국민 아이디어 공모전,"기획, 아이디어",특허청,2024-05-20,2024-07-10,https://www.epeople.go.kr/cmmn/idea/redirect.do?ideaRegNo=1AE-2405-0000598
256,https://www.wevity.com/upload/contest/20240526011440_acd1afc4.jpg,2024 동작구 영상 공모전 (59초 동작),"영상, UCC, 사진",동작구,2024-05-16,2024-06-28,https://blog.naver.com/dongjaksaran/223448548369
257,https://www.wevity.com/upload/contest/20240526003720_e24f54ea.jpg,제54회 경기도 공예품대전,"예체능, 미술, 음악",경기도,2024-04-15,2024-06-14,https://crafts.or.kr/
258,https://www.wevity.com/upload/contest/20240522193531_1ac4e429.jpg,2024년 경기도의회 서포터즈 모집,"대외활동, 서포터즈",경기도의회,2024-05-16,2024-06-09,https://www.wevity.com/?c=find&s=1&gbn=view&gp=1&ix=87445
259,https://www.wevity.com/upload/contest/20240526000534_b8596bc5.jpg,2024년 영천시 규제개선 아이디어 공모,"기획, 아이디어",영천시,2024-05-20,2024-06-28,https://www.yc.go.kr/portal/saeol/gosi/view.do?notAncmtMgtNo=36413&mId=0301040000
260,https://www.wevity.com/upload/contest/20240522192416_c16683a7.jpg,2024 광주 _ 아시아건축국제공모전 (일반공모전+아이디어공모전),"건축, 건설, 인테리어",광주광역시,2024-07-31,2024-08-16,https://gwangjuproject.kr/gac7/index.php
261,https://www.wevity.com/upload/contest/20240522185246_774b712b.jpg,세종사이버대학교 경찰학과 제복인의 선행·미담 영상콘텐츠 공모전,"영상, UCC, 사진",세종사이버대학교 경찰학과,2024-05-27,2024-10-21,https://cms.sjcu.ac.kr/police/news/notice.do?mode=view&articleNo=126494#!/list
262,https://www.wevity.com/upload/contest/20240525230849_3ef7fe90.jpg,강원학사 50주년 기념 슬로건 공모전,"네이밍, 슬로건",강원인재육성평생교육진흥원,2024-05-20,2024-06-14,http://injae.gwd.go.kr/gwd/haksa_communication/haksa_notice/haksa_notice_03?seq=2607&rowNum=1
263,https://www.wevity.com/upload/contest/20240522184301_e4adf4a2.jpg,2024 해양생물 콘텐츠 공모전,"예체능, 미술, 음악",해양수산부/국립해양생물자원관,2024-05-21,2024-08-13,https://www.meis.go.kr/inform/contest/view1.do
264,https://www.wevity.com/upload/contest/20240522182640_a929ac87.jpg,2024 전국 초중고 iM환경일기 대회,"문학, 글, 시나리오",DGB금융그룹,2024-05-20,2024-08-27,http://www.dgbfgcontest.com/index.php
265,https://www.wevity.com/upload/contest/20240525230423_76e8e2d2.jpg,2024 제주장애인 미술공모전 - 꿈나래,"예체능, 미술, 음악",서귀포시장애인종합복지관,2024-05-21,2024-06-11,http://www.seogwicrc.or.kr/news/articleView.html?idxno=8260
266,https://www.wevity.com/upload/contest/20240522114819_f58eb571.jpg,제20회 제천국제음악영화제 자원활동가 JIMFFree 모집,봉사활동,제천국제음악영화제,2024-05-13,2024-06-16,https://jimff.org/
267,https://www.wevity.com/upload/contest/20240525220223_0050d617.jpg,제4회 원자력 혁신 창업경진대회 참가팀 모집,"취업, 창업","한국원자력협력재단, 블루포인트파트너스",2024-04-30,2024-06-12,https://www.konicof.or.kr/neti/html/sub05/0501.html?mode=V&no=b6c7c8c7ced772b3992fab528afc1f12
268,https://www.wevity.com/upload/contest/20240522113911_46170757.jpg,[농림축산식품부] 제19회 한국농촌건축대전,"건축, 건설, 인테리어",농림축산식품부,2024-05-07,2024-07-05,https://www.raise.go.kr/ruralarchi/index.do
269,https://www.wevity.com/upload/contest/20240525212225_0e7b5050.jpg,2024 목포시 상반기 아이디어 전국 공모전,"기획, 아이디어",목포시,2024-05-20,2024-06-19,https://sotong.go.kr/front/epilogue/epilogueNewViewPage.do?bbs_id=f46895d6429643259ea0b82db67ec784&pagetype=bbs&date_range=all
270,https://www.wevity.com/upload/contest/20240525210746_78bd78e2.jpg,러브아이 경기 가족친화 콘텐츠 공모전,"예체능, 미술, 음악",경기도,2024-05-13,2024-06-10,https://sotong.go.kr/front/epilogue/epilogueNewViewPage.do?bbs_id=a817378d0f914d6eaee3eea1dc73302d&pagetype=bbs&date_range=all&date_range_cnddt=all&miv_pageNo=3&pre
271,https://www.wevity.com/upload/contest/20240525205804_cfc3bff7.jpg,2024 상상 블루 파빌리온,"건축, 건설, 인테리어",KT&G 상상유니브,2024-05-20,2024-07-05,https://www.sangsanguniv.com/univ/program/gate/pavilion
272,https://www.wevity.com/upload/contest/20240522111329_7331a5e1.jpg,2024년 제주 공공데이터 활용 창업경진대회,"취업, 창업",제주특별자치도,2024-05-22,2024-06-30,https://www.jeju.go.kr/open/data/contest.htm
273,https://www.wevity.com/upload/contest/20240522110915_38e7a8cc.jpg,2024 대한민국 스토리 공모대전 (대한민국 콘텐츠대상 스토리 부문),"문학, 글, 시나리오",문화체육관광부,2024-05-24,2024-06-04,https://storyum.kr/story/progrm/master/view.do?prgSn=692&listTp=Start&siteSe=story&menuNo=500024&siteId=5
274,https://www.wevity.com/upload/contest/20240525204708_189d9b80.jpg,2024 제대군인 취창업 성공수기 공모,"문학, 글, 시나리오",국가보훈부,2024-05-20,2024-07-19,https://www.mpva.go.kr/mpva/selectBbsNttView.do?key=76&bbsNo=15&nttNo=256807
275,https://www.wevity.com/upload/contest/20240525204106_4dd2183b.jpg,제28회 전쟁기념관 현충일 그림대회,"디자인, 캐릭터, 웹툰",전쟁기념사업회,2024-05-18,2024-06-05,https://www.warmemo.or.kr:8443/Home/H30000/H30200/programDetail?goods_num=257&p_type=P3
276,https://www.wevity.com/upload/contest/20240521201156_dd4b6acb.jpg,[한국방송통신대학교] KNOU 썰튜브 공모전,"영상, UCC, 사진",한국방송통신대학교,2024-05-27,2024-06-27,https://blog.naver.com/knou0000/223452412813
277,https://www.wevity.com/upload/contest/20240521200558_61b1f36a.jpg,2024 부산슬러시드 대학생 서포터즈 모집,봉사활동,코리아스타트업포럼,2024-05-21,2024-06-07,https://www.busanslushd.com/ko/supporters-busanslushdcrew
278,https://www.wevity.com/upload/contest/20240525203154_67e161f7.jpg,2024 여수시 e스포츠 페스티벌,"게임, 소프트웨어",여수시,2024-05-20,2024-06-23,https://blog.naver.com/yeosu_city/223453966172
279,https://www.wevity.com/upload/contest/20240521194540_58417a32.jpg,"2024 국민이 전하는 인구캠페인 우리동네, 공동육아 응원해! 슬로건 공모전","네이밍, 슬로건",인구보건복지협회,2024-05-16,2024-06-09,https://www.ppfk.or.kr/notice/notice-detail/1068
280,https://www.wevity.com/upload/contest/20240525132753_a45b98e4.jpg,제17회 삶의향기 동서문학상 응모,"문학, 글, 시나리오",동서식품,2024-05-27,2024-10-01,https://bookclub.dongsuh.co.kr/
281,https://www.wevity.com/upload/contest/20240521193636_879fdc35.jpg,CJ ONSTYLE X 방배노인종합복지관 2024년 온화(On:話) 대학생 서포터즈 3기 모집,기타,서초구립 방배노인종합복지관,2024-05-21,2024-06-04,https://www.bbsenior.org/kor/story/index.php?m=v&idx=5126
282,https://www.wevity.com/upload/contest/20240524125336_90ace8dc.jpg,KBS UGC 공모전,"영상, UCC, 사진",KBS미디어,2024-05-21,2024-07-21,https://www.youtube.com/@KBSAllShorts/community
283,https://www.wevity.com/upload/contest/20240524124205_3576e236.jpg,부산진구 청년정책 아이디어 공모전,"기획, 아이디어",부산진구,2024-05-03,2024-06-07,https://www.busanjin.go.kr/index.busanjin?menuCd=DOM_000000110002000000
284,https://www.wevity.com/upload/contest/20240524121959_1b704e63.jpg,한국코헴회 2024 세계혈우인의날 기념 영상 및 아이디어 공모,"예체능, 미술, 음악",한국코헴회,2024-04-06,2024-06-30,http://kohem.net/core/mobile/board/board.html?Mode=view&boardID=www31&num=8231
285,https://www.wevity.com/upload/contest/20240521192959_3266c3ad.jpg,제7회 수원시 건강한 내-일 행복한 내일 UCC·숏폼 영상 공모전,"영상, UCC, 사진",수원시비정규직노동자복지센터,2024-05-20,2024-06-18,https://swbjk.kr/community/board_view.asp?idx=2481&page=1&category=
286,https://www.wevity.com/upload/contest/20240521192533_a011ac16.jpg,2024년 충청북도 청소년 국제교류 참가 청소년 및 통역 모집,해외,충청북도,2024-05-17,2024-06-07,http://active.cbyouth.net/www/brd/view/1610415151527039?brdKey=1715909995424116
